#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Gene Expression,0.747,NA,NA,0.763,NA,NA,NA,NA,0.026,NA,NA,0.028,NA,NA,NA,NA,0.055,0.067,NA,NA,NA,NA,NA,NA,0.026,0.046,NA,NA,NA,NA,NA,NA,0.736,0.713,NA,NA,NA,NA,NA,NA,0.033,0.071,NA,NA,NA,NA,NA,NA,19,0,0,19,0,0,0,0,20,18,0,0,0,0,0,0,20,9,0,0,0,0,0,0,684,NA,NA,741,NA,NA,NA,NA,"1,500","1,298",NA,NA,NA,NA,NA,NA,"1,500",623,NA,NA,NA,NA,NA,NA
Structure of Areas of Skin,0.755,0.740,0.713,0.454,0.361,0.424,0.450,0.372,0.022,0.037,0.031,0.024,0.027,0.040,0.020,0.027,0.589,0.623,NA,NA,NA,NA,0.546,0.638,0.048,0.048,NA,NA,NA,NA,0.068,0.071,0.213,0.114,NA,NA,NA,NA,0.157,0.146,0.033,0.034,NA,NA,NA,NA,0.043,0.050,67,29,36,45,43,29,36,21,30,28,1,0,2,2,9,10,28,34,1,0,2,2,9,10,"8,008","4,183","2,889","7,951","4,646","3,525","3,880","2,005","8,889","9,296",345,NA,291,"4,281","3,169","4,023","8,185","10,622",345,NA,291,"4,281","3,169","4,023"
Type 1 Diabetes Mellitus,0.755,NA,NA,0.427,NA,NA,NA,NA,0.089,NA,NA,0.068,NA,NA,NA,NA,0.496,0.664,NA,NA,NA,NA,NA,NA,0.125,0.088,NA,NA,NA,NA,NA,NA,0.544,0.163,NA,NA,NA,NA,NA,NA,0.107,0.082,NA,NA,NA,NA,NA,NA,7,0,0,8,1,0,0,0,4,9,0,0,0,0,0,0,3,9,0,0,0,0,0,0,198,NA,NA,434,12,NA,NA,NA,293,"27,973",NA,NA,NA,NA,NA,NA,198,"27,973",NA,NA,NA,NA,NA,NA
Schizophrenia,0.756,0.698,0.565,NA,0.294,0.469,0.242,NA,0.018,0.053,0.041,NA,0.032,0.066,0.073,NA,NA,NA,0.774,0.798,NA,NA,NA,NA,NA,NA,0.051,0.043,NA,NA,NA,NA,NA,NA,0.013,0.000,NA,NA,NA,NA,NA,NA,0.025,0.022,NA,NA,NA,NA,42,8,7,2,39,8,6,1,1,0,7,9,1,1,1,1,1,0,7,10,1,1,1,1,"19,841","9,422","8,762","20,527","29,458","14,505","13,429","10,903","26,304",NA,"1,568","1,931","7,328",72,"8,073","3,957","26,304",NA,"1,568","2,155","7,328",72,"8,073","3,957"
Mild Mental Retardation,0.760,0.394,0.400,0.520,0.571,0.215,0.222,0.591,0.073,0.061,0.051,0.102,0.089,0.028,0.020,0.099,0.190,0.327,0.444,NA,NA,NA,NA,NA,0.021,0.031,0.092,NA,NA,NA,NA,NA,0.386,0.221,0.085,NA,NA,NA,NA,NA,0.145,0.180,0.089,NA,NA,NA,NA,NA,10,5,4,8,8,5,4,6,3,4,3,2,2,1,2,1,3,4,3,2,2,1,2,1,"3,235","1,048","1,477","7,784","4,493","1,579","2,286","3,606","10,090","10,183","1,918",806,"2,124",999,"3,193","1,497","10,090","10,183","1,918",806,"2,124",999,"3,193","1,497"
Disorders of Refraction and Accommodation,0.771,NA,NA,0.524,NA,NA,NA,NA,0.040,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,1,15,2,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,"1,088",23,31,695,87,17,38,NA,506,506,NA,NA,NA,NA,NA,506,506,506,NA,NA,NA,NA,NA,506
Education,0.771,0.770,0.795,0.450,0.516,0.528,0.558,0.396,0.025,0.017,0.025,0.019,0.024,0.024,0.024,0.033,0.517,0.495,0.530,0.502,0.508,0.481,0.471,0.448,0.028,0.029,0.080,0.066,0.018,0.014,0.026,0.028,0.270,0.248,0.283,0.279,0.259,0.275,0.322,0.329,0.034,0.039,0.091,0.067,0.027,0.024,0.034,0.032,18,15,14,7,16,15,14,6,9,8,3,4,10,10,9,9,9,9,3,4,10,10,9,9,"18,752","9,675","9,264","6,941","23,356","13,908","12,346","3,251","24,484","23,872","10,238","11,723","20,851","20,563","17,684","17,099","24,484","24,484","10,238","11,723","20,851","20,563","17,684","17,099"
Haematological System Functions,0.773,0.694,0.670,0.560,0.409,0.404,0.381,NA,0.023,0.040,0.022,0.032,0.038,0.035,0.017,NA,0.505,0.717,0.392,0.445,NA,NA,0.312,0.571,0.049,0.044,0.045,0.066,NA,NA,0.042,0.033,0.324,0.127,0.313,0.196,NA,NA,0.381,0.103,0.090,0.049,0.037,0.070,NA,NA,0.069,0.041,48,16,33,19,29,15,33,1,7,18,7,17,1,2,7,33,7,18,7,17,2,2,7,33,"5,353",718,"2,946","3,218","5,701",573,"5,200",11,"2,025","4,262","4,557","8,112",23,106,"4,894","12,288","2,025","4,262","4,557","8,112",106,106,"4,894","12,288"
Mental and Behavioural Disorders Due to Use of Cannabinoids,0.781,0.677,0.784,0.499,0.565,0.483,0.558,0.560,0.026,0.040,0.044,0.056,0.061,0.065,0.059,0.071,0.509,0.535,0.430,0.498,0.388,0.470,0.418,0.526,0.041,0.051,0.036,0.044,0.026,0.038,0.034,0.037,0.262,0.218,0.297,0.246,0.216,0.175,0.269,0.181,0.051,0.069,0.028,0.039,0.023,0.031,0.040,0.037,19,19,15,17,11,20,14,9,18,16,11,15,48,27,16,17,18,17,11,15,38,32,16,17,"8,750","3,883","2,844","10,023","2,957","2,914","1,692","2,191","25,358","26,198","19,379","27,451","83,313","30,922","11,094","10,657","25,358","27,286","19,379","27,451","49,593","44,222","11,094","10,657"
Structure of Head and Neck Region,0.803,0.791,0.768,0.533,0.443,0.444,0.430,0.476,0.010,0.015,0.012,0.025,0.019,0.027,0.017,0.059,0.439,0.772,0.559,0.633,0.563,0.736,0.698,0.729,0.056,0.044,0.046,0.082,0.068,0.064,0.031,0.024,0.267,0.137,0.239,0.228,0.266,0.119,0.117,0.085,0.065,0.095,0.036,0.092,0.054,0.098,0.036,0.032,100,41,60,42,57,37,57,4,13,15,10,4,11,6,19,26,13,15,10,4,11,6,19,25,"14,480","6,115","8,607","3,115","7,238","3,561","6,675",159,"3,098","2,148","13,820","5,008","7,210","2,873","9,209","10,366","3,098","2,148","13,820","5,008","7,210","2,873","9,209","10,013"
Weight Maintenance Functions,0.810,0.763,0.783,0.437,0.452,0.415,0.416,0.354,0.005,0.007,0.007,0.010,0.009,0.009,0.010,0.016,0.631,0.748,0.710,0.707,0.674,0.758,0.673,0.735,0.013,0.010,0.026,0.011,0.012,0.011,0.012,0.010,0.198,0.117,0.132,0.032,0.165,0.090,0.180,0.088,0.015,0.016,0.025,0.012,0.014,0.013,0.016,0.014,391,274,285,215,293,267,284,133,246,260,26,64,198,187,199,209,246,288,26,61,199,227,194,235,"141,152","70,094","70,796","134,867","128,584","76,900","67,568","54,613","445,695","380,392","26,537","57,330","127,845","101,327","107,951","115,624","445,695","399,310","26,537","58,401","128,577","121,587","105,854","125,071"
Schizoaffective Disorders,0.817,NA,NA,NA,0.214,NA,NA,NA,0.027,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,0.845,NA,NA,NA,NA,NA,NA,NA,0.010,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,NA,NA,7,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,742,NA,NA,NA,826,NA,NA,NA,NA,NA,NA,"1,344",NA,NA,NA,NA,NA,NA,NA,"1,344",NA,NA,NA,NA
Structure of Mouth,0.819,0.863,0.845,0.399,0.467,0.564,0.411,0.423,0.010,0.010,0.015,0.012,0.026,0.035,0.039,0.033,0.574,0.785,NA,NA,NA,0.801,NA,0.808,0.072,0.014,NA,NA,NA,0.035,NA,0.027,0.342,0.013,NA,NA,NA,0.027,NA,0.022,0.137,0.007,NA,NA,NA,0.027,NA,0.022,127,9,10,119,38,9,11,28,6,137,0,2,1,22,2,23,3,127,0,2,1,21,2,22,"7,769",560,726,"8,493","1,745",370,445,"1,229","1,315","20,771",NA,776,113,"2,234",206,"2,551",373,"19,275",NA,776,113,"2,154",206,"2,447"
Bipolar Affective Disorder,0.824,0.814,0.790,0.489,0.492,0.448,0.477,0.489,0.004,0.017,0.023,0.010,0.012,0.034,0.025,0.008,0.678,0.677,0.757,0.757,0.689,0.672,0.638,0.565,0.020,0.018,0.032,0.032,0.026,0.027,0.029,0.042,0.150,0.135,0.004,0.004,0.160,0.145,0.182,0.142,0.029,0.034,0.030,0.030,0.031,0.040,0.037,0.044,9,7,7,7,10,7,7,6,8,8,9,9,5,4,5,5,8,9,9,9,5,5,5,6,"9,251","4,767","5,616","15,752","7,938","4,503","4,323","7,868","25,900","23,578","1,161","1,161","6,483","5,680","6,944","6,944","25,900","25,927","1,161","1,161","6,483","6,483","6,944","7,791"
Other Specified Behavioural and Emotional Disorders with Onset Usually Occurring In Childhood and Adolescence,0.831,NA,NA,NA,0.524,NA,NA,NA,0.033,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,3,2,2,2,2,2,1,0,2,2,2,2,2,2,1,0,2,2,2,2,"1,607",622,584,536,516,136,132,268,"1,742","1,742",649,NA,758,758,716,716,"1,742","1,742",649,NA,758,758,716,716
Specific Developmental Disorder of Motor Function,0.833,NA,NA,0.486,NA,NA,NA,NA,0.021,NA,NA,0.032,NA,NA,NA,NA,0.739,0.685,NA,NA,NA,NA,NA,NA,0.019,0.026,NA,NA,NA,NA,NA,NA,0.104,0.104,NA,NA,NA,NA,NA,NA,0.036,0.036,NA,NA,NA,NA,NA,NA,19,2,2,19,2,2,2,2,8,17,0,0,2,2,2,2,8,8,0,0,2,2,2,2,"5,511","2,351","2,756","10,593","4,688","2,424","2,264","4,783","21,149","21,905",NA,NA,"4,775","4,775","5,020","5,020","21,149","21,149",NA,NA,"4,775","4,775","5,020","5,020"
Structure of Dna,0.848,0.792,NA,0.259,NA,0.489,NA,NA,0.025,0.058,NA,0.042,NA,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.034,NA,NA,NA,NA,NA,NA,25,7,1,25,0,7,1,0,0,0,0,0,0,0,0,1,0,18,0,0,0,1,0,1,646,66,10,578,NA,59,11,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,900,NA,NA,NA,21,NA,21
Nonsuppurative Otitis Media,0.852,0.718,0.680,NA,0.527,0.423,0.233,0.306,0.018,0.014,0.036,NA,0.029,0.068,0.025,0.020,NA,NA,0.619,0.577,0.616,0.616,0.678,0.675,NA,NA,0.026,0.029,0.067,0.067,0.033,0.029,NA,NA,0.251,0.242,0.105,0.105,0.000,0.000,NA,NA,0.042,0.044,0.112,0.112,0.019,0.019,24,3,3,2,24,3,3,4,2,2,23,18,3,3,3,3,2,2,22,22,3,3,3,3,"16,826","1,141","1,545","1,984","15,467","1,040","1,348","3,533","3,102","3,102","30,355","24,678","2,181","2,181","2,893","2,893","3,102","3,102","30,162","30,162","2,181","2,181","2,893","2,893"
Chronic Respiratory Disease Originating In the Perinatal Period,0.856,NA,NA,0.628,NA,NA,NA,NA,0.048,NA,NA,0.065,NA,NA,NA,NA,NA,0.569,NA,NA,NA,NA,NA,NA,NA,0.112,NA,NA,NA,NA,NA,NA,NA,0.361,NA,NA,NA,NA,NA,NA,NA,0.131,NA,NA,NA,NA,NA,NA,7,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,490,NA,NA,623,NA,NA,NA,NA,NA,"1,365",NA,NA,NA,NA,NA,NA,NA,"1,365",NA,NA,NA,NA,NA,NA
Dementia In Alzheimer Disease,0.857,NA,NA,NA,0.503,NA,NA,NA,0.051,NA,NA,NA,0.155,NA,NA,NA,0.627,NA,0.594,NA,NA,NA,NA,NA,0.081,NA,0.062,NA,NA,NA,NA,NA,0.119,NA,0.017,NA,NA,NA,NA,NA,0.091,NA,0.049,NA,NA,NA,NA,NA,3,1,1,1,3,2,2,1,3,2,3,2,2,1,1,1,3,2,3,2,2,1,1,1,39,8,17,90,106,20,53,22,"1,234","1,118",413,382,"4,911","4,893",54,54,"1,234","1,118",413,382,"4,911","4,893",54,54
Unspecified Dementia,0.861,NA,NA,NA,0.588,NA,NA,NA,0.015,NA,NA,NA,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,3,1,2,1,1,0,2,1,2,0,2,0,1,0,2,1,2,0,2,0,260,12,23,505,171,29,90,46,207,NA,87,38,239,NA,429,NA,207,NA,87,38,239,NA,429,NA
Structure of Pelvic Region,0.871,0.881,0.817,0.457,0.484,0.499,0.415,NA,0.020,0.021,0.015,0.062,0.082,0.100,0.021,NA,NA,NA,NA,0.735,NA,0.707,0.792,0.767,NA,NA,NA,0.044,NA,0.049,0.027,0.024,NA,NA,NA,0.080,NA,0.127,0.054,0.030,NA,NA,NA,0.074,NA,0.101,0.040,0.024,7,3,26,5,3,3,26,1,0,1,2,6,2,5,13,20,0,1,2,6,2,5,12,21,"2,791",967,"3,522",819,"1,302",551,"4,116",82,NA,149,"2,764","5,572","1,382","2,561","4,508","7,625",NA,149,"2,764","5,572","1,382","2,561","4,058","8,075"
"Disorders of Puberty, Not Elsewhere Classified",0.877,0.961,0.937,0.340,0.398,0.358,0.456,0.214,0.021,0.008,0.011,0.028,0.028,0.030,0.026,0.022,0.674,0.769,NA,0.545,NA,0.790,0.686,0.639,0.136,0.057,NA,0.021,NA,0.028,0.104,0.105,0.218,0.115,NA,0.061,NA,0.002,0.205,0.121,0.127,0.047,NA,0.060,NA,0.015,0.069,0.063,21,31,26,7,21,31,26,10,3,6,0,3,2,10,5,7,3,6,0,3,2,10,5,7,"3,816","2,731","2,414","6,197","3,920","2,944","2,276","4,784","1,699","5,294",NA,"3,855",545,"4,627","2,565","3,831","1,699","5,294",NA,"3,855",545,"4,627","2,565","3,831"
Structure of Upper Extremity,0.883,0.855,0.725,0.518,0.549,0.369,0.394,0.217,0.018,0.019,0.024,0.039,0.059,0.057,0.024,0.094,0.701,0.732,0.437,NA,0.697,0.850,0.643,0.679,0.045,0.040,0.041,NA,0.087,0.016,0.043,0.029,0.023,0.000,NA,NA,0.076,0.037,0.065,0.000,0.031,0.045,NA,NA,0.077,0.038,0.031,0.013,27,19,21,15,15,19,21,3,3,4,3,0,5,15,9,10,3,4,2,0,5,15,9,9,"2,056",533,"3,268","1,538",692,362,"4,754",100,"1,067",501,365,NA,326,721,"2,283","6,234","1,067",501,300,NA,326,721,"2,283","5,881"
"Acquired Absence of Organs, Not Elsewhere Classified",0.887,0.881,0.878,0.609,0.585,0.495,0.611,0.630,0.015,0.037,0.020,0.036,0.041,0.088,0.050,0.046,NA,NA,0.580,0.751,NA,NA,NA,NA,NA,NA,0.094,0.089,NA,NA,NA,NA,NA,NA,0.381,0.289,NA,NA,NA,NA,NA,NA,0.092,0.141,NA,NA,NA,NA,4,3,4,4,4,4,4,4,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,165,25,109,424,227,68,137,160,NA,NA,393,393,NA,NA,NA,NA,NA,NA,393,393,NA,NA,NA,NA
Height,0.908,0.919,0.897,0.543,0.569,0.530,0.540,0.485,0.005,0.004,0.005,0.008,0.009,0.009,0.009,0.009,0.632,0.770,0.715,0.782,0.674,0.797,0.638,0.737,0.019,0.014,0.027,0.029,0.016,0.014,0.020,0.017,0.305,0.213,0.228,0.198,0.287,0.221,0.313,0.255,0.020,0.023,0.047,0.045,0.022,0.026,0.023,0.027,128,102,91,87,101,102,91,70,117,123,5,6,93,97,88,85,117,127,5,6,93,100,88,86,"53,076","29,716","27,831","68,358","52,394","35,170","28,843","36,306","309,747","265,072","12,670","12,865","71,245","54,886","66,350","51,922","309,747","271,739","12,670","12,865","71,245","56,788","66,350","52,322"
Structure of Lower Extremity,0.909,0.899,0.839,0.541,0.505,0.506,0.462,NA,0.009,0.016,0.014,0.041,0.028,0.039,0.021,NA,NA,NA,0.777,NA,0.817,NA,0.755,0.737,NA,NA,0.035,NA,0.043,NA,0.032,0.020,NA,NA,0.128,NA,0.120,NA,0.128,0.052,NA,NA,0.043,NA,0.072,NA,0.033,0.033,15,6,15,9,6,6,15,0,0,1,6,2,6,2,9,11,0,1,6,2,6,2,9,11,"6,224","2,688","4,261",820,"2,916","1,458","4,558",NA,NA,149,"8,292","2,764","4,146","1,382","4,795","6,055",NA,149,"8,292","2,764","4,146","1,382","4,795","6,055"
Structure of Hair,0.966,0.921,0.986,0.363,0.354,0.314,0.380,0.351,0.015,0.027,0.006,0.025,0.021,0.034,0.026,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,0.000,0.000,0.000,0.000,0.014,0.014,NA,NA,0.026,0.026,0.020,0.020,4,3,3,4,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,3,"2,342",823,"1,366","3,187","1,693",667,"1,026","1,295",NA,NA,NA,NA,NA,NA,NA,NA,"5,177","5,177",NA,NA,"1,490","1,490","2,392","2,392"
Cleft Lip,0.973,NA,NA,0.732,NA,NA,NA,NA,0.012,NA,NA,0.112,NA,NA,NA,NA,0.980,0.980,NA,NA,NA,NA,NA,NA,0.009,0.009,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,NA,NA,0.046,0.046,NA,NA,NA,NA,NA,NA,3,2,2,4,2,2,2,2,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,237,92,124,252,106,50,56,82,477,477,NA,NA,NA,NA,NA,NA,477,477,NA,NA,NA,NA,NA,NA
Acne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,"1,124",NA,NA,NA,"1,099",NA,NA,NA,NA,NA,NA,NA,"1,557","1,557",NA,NA,NA,NA,NA,NA,"1,557","1,557"
Acute and Transient Psychotic Disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.034,1,0,1,1,0,0,1,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,2,3,125,NA,187,136,NA,NA,111,NA,NA,261,NA,NA,NA,NA,578,876,NA,261,NA,NA,NA,NA,578,876
Acute Appendicitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,2,1,0,0,0,2,1,1,0,1,0,0,0,2,1,1,1,598,202,369,685,306,114,103,353,505,NA,NA,NA,317,158,"3,508",NA,505,NA,NA,NA,317,158,"3,508","3,508"
Acute Myocardial Infarction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,741,288,222,NA,"1,354",594,451,NA,NA,NA,"2,095","2,095",882,NA,673,NA,NA,NA,"2,095","2,095",882,NA,673,NA
Additional Musculoskeletal Structures Related to Movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,NA,NA,NA,14,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,NA
Adult Respiratory Distress Syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,"2,224",NA,NA,NA,"1,818",NA,NA,NA,NA,NA,NA,NA,"4,042",NA,NA,NA,NA,NA,NA,NA,"4,042",NA,NA
Angina Pectoris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,704,227,298,NA,"1,251",406,730,NA,NA,NA,"1,955","1,955",633,633,"1,029","1,029",NA,NA,"1,955","1,955",633,633,"1,029","1,029"
Ankylosing Spondylitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA
Aortic Aneurysm and Dissection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,25,NA,NA,99,NA,NA,NA,NA,124,124,NA,NA,NA,NA,NA,NA,124,124,NA,NA,NA,NA,NA,NA
Arthrosis of First Carpometacarpal Joint,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,"1,256",NA,NA,NA,NA,NA,NA,NA,NA,"1,794",NA,NA,NA,NA,NA,NA,NA,"1,794"
Atrial Fibrillation and Flutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,246,141,91,NA,519,282,224,NA,NA,NA,NA,765,NA,423,NA,315,NA,NA,NA,765,NA,423,NA,315
Bacterial Sepsis of Newborn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,1,0,0,1,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,42,NA,NA,209,86,NA,NA,67,183,251,NA,NA,NA,NA,NA,NA,183,251,NA,NA,NA,NA,NA,NA
Birth Asphyxia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood Vessel Functions,NA,NA,0.822,NA,NA,NA,0.580,NA,NA,NA,0.019,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,0.415,0.632,NA,NA,NA,NA,NA,NA,0.158,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3,1,0,0,3,0,1,1,0,0,0,0,3,3,1,1,0,0,0,0,2,2,225,NA,594,636,NA,NA,756,NA,861,861,NA,NA,NA,NA,"1,350","1,350",861,861,NA,NA,NA,NA,900,900
